Date,Name,Year,Letterboxd URI
2024-11-22,Aavesham,2024,https://boxd.it/F2fe
2024-11-22,Manjummel Boys,2024,https://boxd.it/EtUc
2024-11-22,Premalu,2024,https://boxd.it/HuK4
2024-11-22,The Goat Life,2024,https://boxd.it/gVZQ
2024-11-22,Kumbalangi Nights,2019,https://boxd.it/l8wA
2024-11-22,Nanpakal Nerathu Mayakkam,2022,https://boxd.it/x5xO
2024-11-22,Aattam,2023,https://boxd.it/Aaws
2024-11-22,Minnal Murali,2021,https://boxd.it/osLw
2024-11-22,Guruvayoor Ambalanadayil,2024,https://boxd.it/Eqle
2024-11-22,Kaathal - The Core,2023,https://boxd.it/CXjG
2024-11-22,Anweshippin Kandethum,2024,https://boxd.it/vtaA
2024-11-22,Hridayam,2022,https://boxd.it/ohO0
2024-11-22,Neru,2023,https://boxd.it/I3S8
2024-11-22,Iratta,2023,https://boxd.it/zELA
2024-11-22,Kannur Squad,2023,https://boxd.it/EkOu
2024-11-22,Drishyam 2,2021,https://boxd.it/qsak
2024-11-22,Jana Gana Mana,2022,https://boxd.it/tOpC
2024-11-22,Vaazha - Biopic of a Billion Boys,2024,https://boxd.it/J7TG
2024-11-22,Ustad Hotel,2012,https://boxd.it/3UNy
2024-11-22,Ayyappanum Koshiyum,2020,https://boxd.it/otGi
2024-11-22,Annayum Rasoolum,2013,https://boxd.it/4T6g
2024-11-22,C U Soon,2020,https://boxd.it/rA3S
2024-11-22,Golam,2024,https://boxd.it/KoIC
2024-11-22,Bro Daddy,2022,https://boxd.it/vLNU
2024-11-22,Malayankunju,2022,https://boxd.it/uLrs
2024-11-22,Parava,2017,https://boxd.it/gRde
2024-11-22,Varane Avashyamund,2020,https://boxd.it/oydU
2024-11-22,Adios Amigo,2024,https://boxd.it/EWry
2024-11-22,Thundu,2024,https://boxd.it/HkNC
2025-03-12,The Substance,2024,https://boxd.it/zanS
2025-09-04,Dead Poets Society,1989,https://boxd.it/2aSg
2025-09-04,Memories of Murder,2003,https://boxd.it/1TSo
2025-09-04,Schindler's List,1993,https://boxd.it/2aq2
2025-09-04,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-09-04,12 Angry Men,1957,https://boxd.it/2auI
2025-09-04,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2025-09-04,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2025-09-04,Fight Club,1999,https://boxd.it/2a9q
